,label,ytid,start,stop
86,Happy,1gvzSq1LqzU,25.0,35.0
87,Sad,1gzaGqxVPxU,30.0,40.0
88,Aggressive,1jOOISjonO0,30.0,40.0
89,Happy,1kdRFmi_pgc,0.0,10.0
90,Happy,1lYGmjMTmZw,10.0,20.0
92,Aggressive,1oHwqU991sI,0.0,10.0
93,Happy,1tyEcu57iQU,50.0,60.0
94,Happy,1uSavuICk1M,40.0,50.0
95,Happy,1vSXAU3zPbE,25.0,35.0
96,Happy,1wJoXRIRBfI,70.0,80.0
97,Happy,20uiX8xYiec,100.0,110.0
98,Happy,21vfIdV2B60,30.0,40.0
99,Happy,23vqATAFLUk,0.0,10.0
101,Aggressive,28zIp-jCBXc,30.0,40.0
102,Happy,29SMMibYXJY,30.0,40.0
103,Happy,2APx_cRBqRQ,70.0,80.0
104,Aggressive,2AaH0Ph70fA,50.0,60.0
105,Happy,2B-3pYZItLs,180.0,190.0
106,Aggressive,2BUqOk1Nt9Q,30.0,40.0
107,Happy,2DFolL0dWyc,20.0,30.0
108,Aggressive,2Dx-GjsI1Zc,10.0,20.0
109,Sad,2GQ7fHIa-dw,280.0,290.0
110,Sad,2GcPFI4zIZU,230.0,240.0
111,Happy,2JDTUrcBNrM,20.0,30.0
112,Aggressive,2Ja8zoFpTEM,80.0,90.0
113,Happy,2Pdig-LaQo0,90.0,100.0
114,Happy,2QKUFwKvRbA,30.0,40.0
115,Happy,2QhjPJv7ido,50.0,60.0
116,Sad,2R8c_BR_kSQ,10.0,20.0
117,Happy,2SqH6Vuu4lc,10.0,20.0
118,Happy,2U2G4oJOgRM,30.0,40.0
119,Aggressive,2W4Ly0m01LE,10.0,20.0
120,Happy,2YljvfkQBhk,40.0,50.0
121,Sad,2_ljDKHdv6g,0.0,10.0
122,Aggressive,2avl7PV2FG0,60.0,70.0
123,Happy,2c3gzj2jIfk,10.0,20.0
124,Happy,2c5VU69225M,30.0,40.0
125,Happy,2dVKviKRMPo,0.0,10.0
126,Happy,2hKC_gyijcw,10.0,20.0
128,Sad,2l0BcqqUwc4,140.0,150.0
129,Aggressive,2lZUArWN-e8,10.0,20.0
130,Aggressive,2me3_CkA0Tg,30.0,40.0
131,Happy,2ty0UNZyvIQ,140.0,150.0
132,Happy,2u43chNze4A,260.0,270.0
134,Aggressive,2xobBryGD3A,0.0,10.0
135,Happy,34o84pbjfUM,10.0,20.0
136,Happy,36ZJk26Rl7E,0.0,10.0
137,Happy,36xzrUTlmKw,40.0,50.0
138,Happy,3BR9QPq2lvI,10.0,20.0
139,Happy,3CS2JxoplKg,30.0,40.0
140,Happy,3Cu8KEB9C74,70.0,80.0
141,Happy,3FmxwhMpvbA,30.0,40.0
142,Happy,3KALVyKRScs,10.0,20.0
143,Happy,3Olb_6aFMuc,10.0,20.0
144,Aggressive,3PXapuGaA0A,150.0,160.0
145,Happy,3Qysd4lrsj4,40.0,50.0
146,Happy,3d0u9ziywb8,30.0,40.0
147,Happy,3e5kW_RPOlA,80.0,90.0
148,Happy,3eXYHDiW3Yc,30.0,40.0
149,Happy,3iYj8V-OxJM,30.0,40.0
150,Happy,3jS8tWfLJxI,90.0,100.0
151,Happy,3k06yhK3sfk,0.0,10.0
152,Happy,3lUL4Osm1f0,0.0,10.0
153,Aggressive,3mV_kzIAfb8,20.0,30.0
154,Sad,3nWeAosWK40,20.0,30.0
155,Happy,3pn5hPnIBbQ,10.0,20.0
156,Happy,3tUSemmPTNc,20.0,30.0
157,Aggressive,3xbAoVtkinI,100.0,110.0
158,Happy,41M325kO4jw,0.0,10.0
159,Sad,41TTeZMRpzs,30.0,40.0
160,Aggressive,432qBwJpD7k,40.0,50.0
161,Aggressive,443rTNtiUsY,0.0,10.0
162,Happy,45fXNx2356Q,30.0,40.0
163,Happy,47MR-rUOrx4,10.0,20.0
164,Aggressive,49KZ3abYtjQ,50.0,60.0
165,Happy,4AYySiliYAw,10.0,20.0
166,Happy,4CrTkChK_Fo,10.0,20.0
167,Happy,4KYJA16aswI,20.0,30.0
168,Aggressive,4PLtKW3ugLo,30.0,40.0
169,Happy,4UUH1K4bRSo,30.0,40.0
170,Sad,4V5BVqRUJH8,20.0,30.0
171,Aggressive,4Y020IJSf5M,30.0,40.0
172,Sad,4apzsYf8yv8,30.0,40.0
173,Happy,4c572JueQkU,40.0,50.0
174,Aggressive,4dDQq_dDp0k,30.0,40.0
175,Aggressive,4dbhc3pklcQ,120.0,130.0
176,Happy,4gyda6wcww0,30.0,40.0
177,Sad,4hQgFX4vxi4,30.0,40.0
178,Happy,4izwBJEV0qA,40.0,50.0
179,Aggressive,4jW7xTLOjtc,43.0,53.0
180,Happy,4jaU_R0rhC8,10.0,20.0
181,Happy,4pGvBK7Z9t8,240.0,250.0
182,Aggressive,4qYFfG3og0M,10.0,20.0
183,Happy,4sTQvJtsuSg,50.0,60.0
184,Aggressive,4xW7mL-QIQw,80.0,90.0
185,Happy,4yqIXHBF3Cg,0.0,10.0
186,Aggressive,5-7yDR3x1-o,20.0,30.0
187,Aggressive,51Yv3scxAaI,0.0,10.0
188,Aggressive,53rnMv5NvJY,18.0,28.0
189,Happy,55NFpupN4FM,60.0,70.0
190,Aggressive,57-on-lKpIw,90.0,100.0
191,Happy,59owXyiCEEc,40.0,50.0
192,Happy,5F9Gd2JNcw8,0.0,10.0
193,Aggressive,5FGeo3lAS1I,100.0,110.0
194,Sad,5H4sD4YIo1g,40.0,50.0
195,Happy,5H8dSeMhjgk,200.0,210.0
196,Happy,5KEPA_ORiVI,10.0,20.0
197,Sad,5RpXe4bKehs,20.0,30.0
198,Aggressive,5csYYtS7Pck,20.0,30.0
199,Aggressive,5hoASlZuPeQ,10.0,20.0
200,Happy,5lFYunpk928,30.0,40.0
201,Happy,5nAvo9b2_SY,20.0,30.0
202,Happy,5pSsC39eUHw,10.0,20.0
204,Sad,5tHzsBZBeJg,10.0,20.0
205,Sad,5tj83eyRNws,60.0,70.0
206,Happy,5x3936WgZ5M,30.0,40.0
207,Sad,5yPuU1le594,30.0,40.0
208,Happy,5yo90PoKOT8,50.0,60.0
209,Sad,652KFi0iYBc,20.0,30.0
210,Happy,656Qt18XG68,0.0,10.0
212,Sad,67yYlKfBMTw,30.0,40.0
213,Aggressive,69LRG1sgAcg,20.0,30.0
214,Happy,6ExUE6V95Tw,0.0,10.0
215,Happy,6GFmnB9lDCU,240.0,250.0
216,Happy,6GX3MBwj2_M,0.0,10.0
217,Happy,6IKre5MZpAQ,70.0,80.0
218,Sad,6IiL4MF0Z0s,40.0,50.0
219,Happy,6KGCKKkHEjU,0.0,10.0
220,Aggressive,6Q9_CsY0Li8,10.0,20.0
221,Happy,6QElJOmd2cw,10.0,20.0
222,Happy,6V55MpzYAUE,10.0,20.0
223,Happy,6Xerxyx8h1g,90.0,100.0
224,Happy,6dHS9_U28Do,0.0,10.0
225,Happy,6eJu0EM5NzU,50.0,60.0
226,Happy,6gmjrBV3FX8,50.0,60.0
227,Aggressive,6kJ93hhxSaE,30.0,40.0
228,Sad,6lyF5AETpes,0.0,10.0
229,Aggressive,6n4es0jqLWs,0.0,10.0
230,Happy,6o8Iq_QBZoQ,30.0,40.0
231,Aggressive,6webxDW9sRE,40.0,50.0
232,Aggressive,6xivMneDAWE,130.0,140.0
233,Happy,6xyif9pDDVk,70.0,80.0
234,Sad,6zLh9GczKOk,30.0,40.0
235,Happy,7-bLzli97sA,60.0,70.0
236,Happy,70J3q-NDGvk,80.0,90.0
237,Happy,71l5wQ7JfFY,0.0,10.0
238,Sad,73Deca2BDNA,10.0,20.0
239,Aggressive,73zKm6OPctI,0.0,10.0
240,Happy,75ga2serFYE,20.0,30.0
241,Happy,77KgJRJzsJs,10.0,20.0
243,Aggressive,79fm_gFB3sg,190.0,200.0
244,Sad,79gZULA18OQ,40.0,50.0
245,Happy,7CuJQ5M9WAk,10.0,20.0
246,Sad,7Hn6I8Sxr2c,0.0,10.0
247,Happy,7JlSVGM8F6k,30.0,40.0
248,Happy,7K1EiNB9A9I,90.0,100.0
249,Happy,7KSXUptBBYQ,90.0,100.0
250,Aggressive,7UYazZFul0A,40.0,50.0
251,Aggressive,7XJWQbBWmQg,0.0,10.0
252,Happy,7YVe-l7ccXo,30.0,40.0
253,Sad,7a-SlB-TV9o,40.0,50.0
254,Happy,7aArXVjKI4o,30.0,40.0
255,Aggressive,7cGixW3Uf0w,30.0,40.0
256,Aggressive,7eqvYcGLuHs,50.0,60.0
257,Happy,7fUEAw_H1xw,50.0,60.0
258,Happy,7fUiH-yK_PQ,30.0,40.0
259,Aggressive,7kgIIKDPLI8,210.0,220.0
260,Happy,7tVFGG5Z2dA,8.0,18.0
261,Happy,7wNllKym7zM,30.0,40.0
262,Sad,80H8quVAg2o,30.0,40.0
263,Happy,80rsjkHENpY,10.0,20.0
264,Aggressive,84Fw-jojR6E,50.0,60.0
265,Happy,84v0Zvx0e-M,210.0,220.0
266,Aggressive,85dyBtGvWx4,30.0,40.0
267,Happy,88hi2RUL7UE,20.0,30.0
268,Happy,898NtBwYP1U,60.0,70.0
269,Happy,89DwTRiaHs0,20.0,30.0
270,Aggressive,89R9m5HNOzI,20.0,30.0
271,Aggressive,8Be8vobSgU4,40.0,50.0
272,Sad,8C3AADRMw-4,20.0,30.0
273,Happy,8ElyGpd6vcM,100.0,110.0
274,Happy,8N1hL17Chfc,40.0,50.0
275,Happy,8S7zOYPESi8,3.0,13.0
276,Happy,8_fJcQtkfgg,20.0,30.0
277,Happy,8fMnn6coUhQ,0.0,10.0
278,Sad,8o4ZfgIHmmA,100.0,110.0
279,Sad,8oVipqYNk10,10.0,20.0
280,Happy,8ocdI3QYjbA,70.0,80.0
281,Happy,8sfgHy_6lRs,30.0,40.0
282,Sad,8vX-qw292zE,0.0,10.0
283,Happy,92ra_aPRC0Y,0.0,10.0
284,Aggressive,92vVMZ4Zkcc,0.0,10.0
285,Happy,93dAGJ8-FPU,10.0,20.0
286,Happy,94-r01e-KQc,60.0,70.0
287,Sad,97A85WUJJaI,50.0,60.0
288,Happy,97Tu5zD0rzs,20.0,30.0
289,Happy,9E-NxnRjd7s,30.0,40.0
290,Sad,9HO6vSAPu1s,50.0,60.0
291,Happy,9PL9_dndpGk,10.0,20.0
292,Aggressive,9TWHWsZzZlw,20.0,30.0
293,Aggressive,9V4kPRjf18w,50.0,60.0
294,Aggressive,9Wi1oMq9XBM,10.0,20.0
295,Aggressive,9ZsglQE1A4E,10.0,20.0
296,Aggressive,9b3hrwj7iFc,10.0,20.0
297,Happy,9iaelzKxOXg,10.0,20.0
298,Happy,9kYb5ZYJz6Y,30.0,40.0
299,Sad,9l0yZyQ7GY4,10.0,20.0
300,Aggressive,9nn7njUNYP8,30.0,40.0
301,Aggressive,9oaTKugSESU,10.0,20.0
302,Happy,9pCTZuEgjCU,20.0,30.0
303,Happy,9qwuWhM2C8Q,30.0,40.0
304,Aggressive,9tgPf3LJvL4,290.0,300.0
305,Aggressive,9uNc2tH5aV4,10.0,20.0
306,Happy,9wqq_ku1uxw,40.0,50.0
307,Sad,A-j3vpYyL-Y,40.0,50.0
308,Happy,A0ccmDqIIpY,390.0,400.0
309,Aggressive,A0ciL4tAh9c,20.0,30.0
310,Happy,A33eE6IhyDg,10.0,20.0
311,Happy,A6yqin2E7Tg,20.0,30.0
312,Sad,A95ztPd1FD8,50.0,60.0
313,Happy,AASpYn_EQS8,0.0,10.0
314,Happy,AC6m1c1xqqo,30.0,40.0
315,Happy,AHJZteoaqYA,50.0,60.0
316,Happy,AKmS-z4ZwJQ,150.0,160.0
317,Aggressive,ALP8_z817Uw,30.0,40.0
318,Happy,AOBjD68ONNg,40.0,50.0
319,Happy,AZSGKyV5424,0.0,10.0
320,Happy,AeaKZiN-kHk,60.0,70.0
321,Happy,AfKjavwIHF0,20.0,30.0
322,Happy,AigemlRrCJk,30.0,40.0
323,Happy,Ak68t2pvwo8,110.0,120.0
324,Happy,Al8fS6ngZrY,10.0,20.0
325,Happy,Ao4ls4kFejw,50.0,60.0
326,Happy,Aph5ShRlEdY,10.0,20.0
327,Aggressive,Aq3pqRwkqUE,80.0,90.0
328,Aggressive,ArcziWUEatk,0.0,10.0
329,Happy,As5Pqpb3fsg,160.0,170.0
330,Aggressive,AuxLUHyzMoQ,30.0,40.0
331,Happy,AvDk6B7vCtE,0.0,10.0
332,Aggressive,AyPEAPILvLc,0.0,10.0
333,Happy,AyZOG94lAXc,10.0,20.0
334,Aggressive,Az3L_C6lAN0,0.0,10.0
335,Happy,B0L0fX1jQY8,30.0,40.0
336,Aggressive,B1AcKJdP1h8,30.0,40.0
337,Aggressive,B1TMbFncIEo,15.0,25.0
338,Happy,B24WpHI9NBE,30.0,40.0
339,Happy,B4qlXfHLsPY,30.0,40.0
340,Happy,B4rQ8RjHMqE,30.0,40.0
341,Happy,B4vKSxYaArI,10.0,20.0
342,Sad,B5ycpI0dwLw,30.0,40.0
343,Happy,B6kHGmBYycY,30.0,40.0
344,Sad,B9C0Op7MmkM,30.0,40.0
345,Happy,BCcdatk468s,70.0,80.0
346,Happy,BDYPBHGz9pk,50.0,60.0
347,Aggressive,BFpzC2Yn3jk,110.0,120.0
348,Aggressive,BHdi8AH1McE,50.0,60.0
349,Sad,BJkDuJ2Q3uo,16.0,26.0
351,Happy,BLiH3beiM3U,100.0,110.0
352,Aggressive,BNJGMvy9Udw,50.0,60.0
353,Sad,BPxWvE2ksyQ,20.0,30.0
354,Happy,BUVO7Zv4m3U,10.0,20.0
355,Happy,BXhJJ5L7vx8,10.0,20.0
356,Happy,BXmugBgPWcA,30.0,40.0
357,Aggressive,BaT_gnccoF4,50.0,60.0
358,Happy,Baue01N86wE,10.0,20.0
359,Sad,BhO04bUXL54,20.0,30.0
360,Aggressive,BiAdVNrtTCY,40.0,50.0
361,Happy,Bqqk2iB4Uq4,18.0,28.0
362,Aggressive,Bs6a7tENmJQ,40.0,50.0
363,Happy,BuD3zqP1TbU,60.0,70.0
364,Happy,C36VKCXQT3c,0.0,10.0
365,Aggressive,C4Tr0xvx4mE,30.0,40.0
366,Sad,C5WlPklatQw,10.0,20.0
367,Happy,C6IaLRAxe7U,10.0,20.0
368,Aggressive,CA4k_r2Nwz8,0.0,10.0
369,Happy,CAr4FhCtDaI,150.0,160.0
370,Happy,CB3oUUrlQrY,100.0,110.0
371,Happy,CB6nhVyq6IE,40.0,50.0
372,Aggressive,CC_orI5tJHI,30.0,40.0
373,Happy,CDLW-mHKr6I,30.0,40.0
374,Aggressive,CH1nWRiHB_c,10.0,20.0
375,Happy,CIx729pLHGk,30.0,40.0
376,Happy,CM5W31FRa7o,30.0,40.0
377,Happy,CN3pOAY7bzI,0.0,10.0
378,Aggressive,CNxIeasZD74,20.0,30.0
379,Happy,CTMn3L0C5kI,80.0,90.0
380,Happy,CULZ1SLVGss,10.0,20.0
381,Sad,CUe2gaIvsPk,30.0,40.0
382,Happy,CViTojsQCQE,0.0,10.0
384,Happy,CZVMFTPG_RE,30.0,40.0
385,Aggressive,CalrtHAXuqs,20.0,30.0
386,Happy,CecFyrZB-FM,20.0,30.0
387,Sad,Cg3cT51QwxE,30.0,40.0
388,Sad,CiF9FlQbHw8,20.0,30.0
389,Happy,CmWDcEMoud0,10.0,20.0
390,Happy,CpDanoJ9nOE,70.0,80.0
391,Aggressive,CqKcyXt6laA,14.0,24.0
393,Happy,Cs8fqM2CjP8,30.0,40.0
394,Aggressive,Cs9vSMwalLY,90.0,100.0
395,Happy,CtN7bVeK-10,0.0,10.0
396,Aggressive,CtQDDc8kU2c,50.0,60.0
397,Happy,CuGfW2fhMFo,20.0,30.0
398,Happy,CzSpgDNDX-M,7.0,17.0
399,Happy,D32Ymy6TBAo,0.0,10.0
400,Sad,D3sz1Y6Ly-Y,30.0,40.0
401,Happy,D5DLw365dv0,10.0,20.0
402,Aggressive,D5oe4G9RKPY,12.0,22.0
403,Sad,DAa3RlRYqus,0.0,10.0
404,Aggressive,DCW_Ti9w3O0,27.0,37.0
405,Happy,DD0OD5qXV7Y,30.0,40.0
407,Sad,DD_kA-A4SE4,120.0,130.0
408,Happy,DGnnAUv7-mY,60.0,70.0
409,Happy,DGqr846GHKE,250.0,260.0
410,Happy,DI-AFvtoNkQ,40.0,50.0
411,Happy,DN8RM7u1oEU,10.0,20.0
412,Happy,DNgQPqHmuyQ,40.0,50.0
413,Happy,DPnnQ8hOT7w,40.0,50.0
414,Happy,DQeSYZtkfV4,40.0,50.0
415,Aggressive,DRSiR-dkmU8,60.0,70.0
416,Happy,DTzILdRUnuQ,10.0,20.0
417,Sad,DZI6W0IJmww,30.0,40.0
418,Sad,DZlflb3NkZ8,40.0,50.0
419,Sad,DZphQeY-WF0,50.0,60.0
420,Aggressive,Dc8UmmjIAWE,40.0,50.0
421,Happy,Dm6rx1Oq-Lc,30.0,40.0
422,Happy,DnIOY3wt0Mk,60.0,70.0
423,Happy,DuYDDdcT-DM,10.0,20.0
424,Happy,DwLCdnbpUNM,20.0,30.0
425,Happy,DwzBJ19O0CI,60.0,70.0
426,Happy,DxXFfGtu2zQ,0.0,10.0
427,Sad,E-SMCfK8Y4w,10.0,20.0
428,Happy,E0IxV6UEqZ8,80.0,90.0
429,Aggressive,E0sj3IDKZME,10.0,20.0
430,Happy,E1FHRl3Qv_o,40.0,50.0
431,Aggressive,E1QLxY-ubCo,0.0,10.0
432,Sad,EG02B34Ws_M,40.0,50.0
433,Sad,EIy5p1Xdgxs,30.0,40.0
434,Happy,ENq8KlN9JOw,20.0,30.0
435,Happy,ESxtYY_NcSA,50.0,60.0
436,Sad,EUZFq4dB1aY,30.0,40.0
437,Happy,EWlwxFXa2yI,0.0,10.0
438,Happy,EYG_7ofmqRg,25.0,35.0
439,Happy,EYz7Kpguao0,10.0,20.0
440,Aggressive,EaeDYYJMf_w,40.0,50.0
441,Happy,Eej7lBtUD50,10.0,20.0
442,Happy,Ef2lRjzOEpc,50.0,60.0
443,Aggressive,EgDJZiJ40DY,30.0,40.0
444,Happy,EkDGjzGYvqM,90.0,100.0
445,Aggressive,ElVlgv58uLI,0.0,10.0
446,Happy,EmsZLw7JTdw,20.0,30.0
447,Happy,Eov8iZ5a8RM,60.0,70.0
448,Happy,EuWGmg8MBxw,160.0,170.0
449,Happy,Ev3XcmTVR8Q,110.0,120.0
450,Sad,Ew71HjD-tgA,20.0,30.0
451,Aggressive,Eytilpo3UhE,110.0,120.0
452,Happy,F2qTJjE0pUc,50.0,60.0
453,Happy,F2sEUz2m4mY,0.0,10.0
454,Happy,F3AsQHJE5E0,30.0,40.0
455,Sad,F3NPz3dUJsI,30.0,40.0
456,Aggressive,F3dUT9g0Cts,50.0,60.0
457,Aggressive,FDo-PK_wDgQ,0.0,10.0
458,Happy,FIzJB8UAB7s,30.0,40.0
459,Happy,FM23Hwa0JxI,30.0,40.0
460,Sad,FO1CJtzzMRg,20.0,30.0
461,Happy,FRp2f-WKa7s,0.0,10.0
462,Aggressive,FTDP4GattEc,30.0,40.0
463,Sad,FTuFdcPTatU,0.0,10.0
464,Happy,FUDwqBG3YaQ,20.0,30.0
465,Happy,FY7gwVCnOS4,24.0,34.0
466,Happy,FZM29E2WwjE,30.0,40.0
467,Happy,FdhFVDlDUKY,80.0,90.0
468,Happy,Fggm2zQyUrk,50.0,60.0
469,Aggressive,FijgLyPHZtU,30.0,40.0
470,Aggressive,Fjm344x_FmM,20.0,30.0
471,Aggressive,FjnyU-8HTYA,160.0,170.0
472,Happy,FsPCypZ8D30,0.0,10.0
473,Happy,FsTXNxD8M2A,0.0,10.0
474,Sad,FtqlvNd8meU,210.0,220.0
475,Sad,Fvq1pdaqVz8,150.0,160.0
476,Happy,G2Qb6n6B8r0,25.0,35.0
477,Aggressive,G4WG7JkOiLE,70.0,80.0
478,Aggressive,GLEDUmnwnLY,290.0,300.0
479,Happy,GLjai294FcU,30.0,40.0
480,Aggressive,GV_PJDvWaBo,10.0,20.0
481,Happy,GW6-FbY7CNI,30.0,40.0
482,Aggressive,GWQf3vWBJCE,80.0,90.0
483,Happy,Gb_Zx7Nnm8A,150.0,160.0
484,Happy,GceJM7ChvmA,100.0,110.0
485,Aggressive,GdvzrQBMCzw,0.0,10.0
486,Happy,GgRdxyRr8LM,10.0,20.0
487,Sad,GicyuhoYuB8,10.0,20.0
488,Happy,GihlVm6jC1g,20.0,30.0
489,Happy,GkA7s3i0uH8,28.0,38.0
490,Sad,GkJm1GDcjBY,20.0,30.0
491,Aggressive,GmetnCLxFHE,40.0,50.0
492,Aggressive,Gor0hFplM-U,70.0,80.0
493,Sad,Gq76UIt3at0,100.0,110.0
494,Happy,GqTzDRA0ReI,70.0,80.0
495,Aggressive,Gr6E7pRVS6I,0.0,10.0
496,Happy,GrYUn7bBaIQ,30.0,40.0
497,Aggressive,GrdSKPO8dQE,30.0,40.0
498,Happy,Gx1wfTlFui8,0.0,10.0
499,Happy,H-vKvvhul2s,0.0,10.0
500,Happy,H6itRd_PkPw,0.0,10.0
501,Happy,H7V96qPFZ3g,40.0,50.0
502,Happy,H9fdW3cRBoo,18.0,28.0
504,Happy,HA9yvpvCI7o,30.0,40.0
505,Aggressive,HAJ_uf3kIyw,30.0,40.0
506,Happy,HEwkex4K6hc,0.0,10.0
507,Happy,HFSlpFhCXxg,0.0,8.0
508,Happy,HFqj77fcTBc,150.0,160.0
509,Aggressive,HFtruUgA0eU,10.0,20.0
510,Sad,HJOebdj_NNc,30.0,40.0
511,Aggressive,HJtcPeZBJJg,130.0,140.0
512,Aggressive,HLvVyfCFyzY,60.0,70.0
513,Aggressive,HOJ936bbVe8,90.0,100.0
514,Sad,HV346cLZxpA,30.0,40.0
515,Happy,HYzKNeEFzMM,10.0,20.0
516,Happy,H_bgPn81rww,10.0,20.0
517,Happy,HdOeLKqorQU,50.0,60.0
518,Sad,Hdu21U_FVs8,20.0,30.0
519,Aggressive,Hf75QQI3gyM,0.0,10.0
520,Sad,HhQ41vxrZmE,30.0,40.0
521,Sad,HiciVxia57A,10.0,20.0
522,Sad,HkW5iM9Kwvw,40.0,50.0
523,Aggressive,Hp_uadxXh4g,310.0,320.0
524,Happy,Hr_5lRHO-5k,10.0,20.0
525,Sad,HuRC4OirsOo,110.0,120.0
526,Happy,Hxz5yO3Td-E,10.0,20.0
527,Sad,HzVGh0xbPXI,0.0,10.0
528,Aggressive,I-1qF2Aa-uQ,10.0,20.0
529,Sad,I05CLIfW-Gc,30.0,40.0
530,Aggressive,I0PICtU-Kyk,0.0,10.0
532,Happy,I28e1cJzADQ,30.0,40.0
533,Aggressive,I3kPmcHvMrg,30.0,40.0
534,Sad,I4jRr42MmFw,10.0,20.0
535,Happy,I6Drk3QmQn8,60.0,70.0
536,Sad,I7zgwA9BOrI,10.0,20.0
537,Sad,I89oTOuj1Ew,10.0,20.0
538,Aggressive,IASpcxeBWeY,70.0,80.0
539,Happy,IDGj7JyTS2w,10.0,20.0
540,Aggressive,IDsOdjK1vp0,30.0,40.0
541,Sad,IGRQ57WD7Pg,100.0,110.0
542,Aggressive,IIWpZBb5mwE,300.0,310.0
543,Happy,IJOJPj10cgs,80.0,90.0
544,Happy,IMNcA386wWo,40.0,50.0
545,Happy,INqyFTv-ZRU,10.0,20.0
546,Sad,ISoElB3H3tE,30.0,40.0
547,Aggressive,IqhRLx_IceA,10.0,20.0
548,Happy,IuwwkxIl62o,40.0,50.0
549,Happy,J6_m3Hwx7Qs,30.0,40.0
550,Happy,JCwLITKpcZ8,220.0,230.0
551,Sad,JMe6y83DOVY,380.0,390.0
552,Happy,JaKJTLdGs_A,30.0,40.0
